Slide_number,Olig2_density_mm2,Region,SampleID,Layer,Age_group,Age,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,493,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,493,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,493,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,493,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,493,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,493,Calc,A15-76,Middle,a_neonate,0,,
317,493,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,493,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,493,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,493,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,493,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,493,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,493,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,493,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,493,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,493,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Middle,a_neonate,0,,
317,0,Calc,A15-76,Deep,a_neonate,0,,
317,0,Calc,A15-76,Deep,a_neonate,0,,
317,0,Calc,A15-76,Deep,a_neonate,0,,
317,493,Calc,A15-76,Deep,a_neonate,0,,
317,0,Calc,A15-76,Deep,a_neonate,0,,
317,493,Calc,A15-76,Deep,a_neonate,0,,
317,0,Calc,A15-76,Deep,a_neonate,0,,
317,493,Calc,A15-76,Deep,a_neonate,0,,
317,493,Calc,A15-76,Deep,a_neonate,0,,
317,986,Calc,A15-76,Deep,a_neonate,0,,
317,0,Calc,A15-76,Deep,a_neonate,0,,
317,0,Calc,A15-76,Deep,a_neonate,0,,
317,0,Calc,A15-76,Deep,a_neonate,0,,
317,986,Calc,A15-76,Deep,a_neonate,0,,
317,493,Calc,A15-76,Deep,a_neonate,0,,
317,0,Calc,A15-76,Deep,a_neonate,0,,
317,0,Calc,A15-76,Deep,a_neonate,0,,
317,493,Calc,A15-76,Deep,a_neonate,0,,
317,0,Calc,A15-76,Deep,a_neonate,0,,
353,493,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Superficial,a_neonate,0,,
353,493,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Superficial,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,493,Calc,A15-76,Middle,a_neonate,0,,
353,493,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,493,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,986,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,493,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,493,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,493,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Middle,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,493,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,493,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,986,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,493,Calc,A15-76,Deep,a_neonate,0,,
353,493,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,493,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
353,0,Calc,A15-76,Deep,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,493,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,493,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,493,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
387,0,Calc,A15-76,Superficial,a_neonate,0,,
