SlideNumber,Region,ID,Age,Depth_bins,R1,MBP,MAP2,DAPI,BCAS1,depth,,,
185 / 185 / 187 / 185,Calc,2,5,40 — 50,1.2105875,4.0736667,15.332125,12.98995,1.537733333,50,,,
185 / 185 / 187 / 185,Calc,2,5,50 — 60,1.2438743,6.6185333,13.418667,11.589275,2.142533333,60,,,
185 / 185 / 187 / 185,Calc,2,5,60 — 70,1.2656629,6.11865,11.793,15.133125,1.4036,70,,,
185 / 185 / 187 / 185,Calc,2,5,70 — 80,1.3015799,3.3102,8.805375,20.54066667,1.262066667,80,,,
185 / 185 / 187 / 185,Calc,2,5,80 — 90,1.357559,5.4794667,8.1776667,13.51575,0.786733333,90,,,
185 / 185 / 187 / 185,Calc,2,5,90 — 100,1.3734285,7.85815,19.06075,11.035675,1.388,100,,,
391,Calc,3,108,0 — 10,1.0461249,19.467922,62.323,13.56953922,,10,,,
391,Calc,3,108,10 — 20,1.063486,14.6806,32.781,18.72065882,,20,,,
391,Calc,3,108,20 — 30,1.0586336,18.616033,31.278,14.07638824,,30,,,
391,Calc,3,108,30 — 40,1.1197159,15.052117,25.6905,12.00722353,,40,,,
391,Calc,3,108,40 — 50,1.1707616,27.369956,22.0194,11.22177647,,50,,,
391,Calc,3,108,50 — 60,1.2106885,21.776411,20.973375,9.717258824,,60,,,
391,Calc,3,108,60 — 70,1.2955311,33.3636,20.9492,6.218682353,,70,,,
391,Calc,3,108,70 — 80,1.4625006,32.110322,19.247125,8.149858824,,80,,,
391,Calc,3,108,80 — 90,1.7218029,42.775667,17.6768,10.96814706,,90,,,
391,Calc,3,108,90 — 100,1.8663937,33.634144,25.308375,13.59451765,,100,,,
397 / 397 / 382 / 397,Calc,3,108,0 — 10,1.1153699,27.040938,16.386167,13.37914594,,10,,,
397 / 397 / 382 / 397,Calc,3,108,10 — 20,1.0986524,10.581438,20.103667,13.786624,,20,,,
397 / 397 / 382 / 397,Calc,3,108,20 — 30,1.0816226,2.56525,20.519583,16.95277984,,30,,,
397 / 397 / 382 / 397,Calc,3,108,30 — 40,1.0850937,2.698125,14.15,17.04833013,,40,,,
397 / 397 / 382 / 397,Calc,3,108,40 — 50,1.1128395,7.0170625,9.9774167,18.73662625,,50,,,
397 / 397 / 382 / 397,Calc,3,108,50 — 60,1.2710988,19.150792,8.3316667,19.32947653,,60,,,
397 / 397 / 382 / 397,Calc,3,108,60 — 70,1.4959866,49.043479,8.1099,15.67013931,,70,,,
397 / 397 / 382 / 397,Calc,3,108,70 — 80,1.7354007,68.395396,7.8189091,15.18764793,,80,,,
397 / 397 / 382 / 397,Calc,3,108,80 — 90,1.832547,56.045,11.442667,15.08931905,,90,,,
397 / 397 / 382 / 397,Calc,3,108,90 — 100,2.3584134,58.105979,17.0844,12.98916933,,100,,,
403 / 403 / 405 / 403,Calc,3,108,0 — 10,1.1188432,32.936989,1.0245,38.56166667,,10,,,
403 / 403 / 405 / 403,Calc,3,108,10 — 20,1.1488112,12.8031,5.0249,44.36922222,,20,,,
403 / 403 / 405 / 403,Calc,3,108,20 — 30,1.1606822,13.3086,4.0800833,40.40405556,,30,,,
403 / 403 / 405 / 403,Calc,3,108,30 — 40,1.1465253,20.851253,4.6829,23.62484444,,40,,,
403 / 403 / 405 / 403,Calc,3,108,40 — 50,1.153402,34.883644,4.2863,29.37429333,,50,,,
403 / 403 / 405 / 403,Calc,3,108,50 — 60,1.1727782,47.384078,3.9935,24.9917,,60,,,
