ImageID,MBP_coverage,Slide_number,Layer,Age,Age_group,,,
crop_MAX_A20-21_3mo_Slide151_DAPI-405_Olig2-488_MBP-594_Fe-647_Calc-1.tif,11.471,151,4c,6,2_4-6mo,,,
crop_MAX_A14-33_2yo_BlockA2_slide75_DAPI_PV-488_MBP-594_BCAS1-647_Calc-1.tif,0.076,75,4a,24,3_2yrs,,,
crop_MAX_A14-33_2yo_BlockA2_slide75_DAPI_PV-488_MBP-594_BCAS1-647_Calc-1.tif,15.908,75,4b,24,3_2yrs,,,
crop_MAX_A14-33_2yo_BlockA2_slide75_DAPI_PV-488_MBP-594_BCAS1-647_Calc-1.tif,16.624,75,4c,24,3_2yrs,, ,
crop_MAX_A14-33_2yo_BlockA2_Slide241_DAPI-Olig2-488_MBP-594_BCAS1-647_Calc-1.tif,0,241,4a,24,3_2yrs,,,
crop_MAX_A14-33_2yo_BlockA2_Slide241_DAPI-Olig2-488_MBP-594_BCAS1-647_Calc-1.tif,7.189,241,4b,24,3_2yrs,,,
crop_MAX_A14-33_2yo_BlockA2_Slide241_DAPI-Olig2-488_MBP-594_BCAS1-647_Calc-1.tif,6.252,241,4c,24,3_2yrs,,,
crop_MAX_A14-33_2yo_BlockA2_Slide273_DAPI-MAP2-488_MBP-594_BCAS1-647_Calc-1.tif,0,273,4a,24,3_2yrs,,,
crop_MAX_A14-33_2yo_BlockA2_Slide273_DAPI-MAP2-488_MBP-594_BCAS1-647_Calc-1.tif,4.051,273,4b,24,3_2yrs,,,
crop_MAX_A14-33_2yo_BlockA2_Slide273_DAPI-MAP2-488_MBP-594_BCAS1-647_Calc-1.tif,3.499,273,4c,24,3_2yrs,,,
MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos-1.tif,0,284,CoS,0,1_0-1.5mo,a_0-1.5,,
