ImageID,MAP2_coverage,Region,Age,Age_group,Slide_number
soma-removed_MAX_A20-21_6mo_Slide165_MAP2-594_Calc_40x-no-averaging-1.tif,18.253,Calc,6,c_5-6mo,6mo_165
soma-removed_MAX_A20-21_6mo_Slide165_MAP2-594_CoS_40x-no-averaging-1.tif,18.166,CoS,6,c_5-6mo,6mo_165
soma-removed_crop_MAX_A14-33_2yo_BlockA2_Slide132_MAP2-594_Calc_high-res-1-1.tif,12.71,Calc,24,d_2yo,2yr_BlockA2_132
soma-removed_crop_MAX_A14-33_2yo_BlockA2_Slide132_MAP2-594_CoS_high-res-1-1.tif,15.254,CoS,24,d_2yo,2yr_BlockA2_132
soma-removed_MAX_A14-33_2yo_BlockA2_Slide197_MAP2-594_Calc-1.tif,13.35,Calc,24,d_2yo,2yr_BlockA2_197
soma-removed_MAX_A14-33_2yo_BlockA2_Slide197_MAP2-594_CoS-1.tif,12.934,CoS,24,d_2yo,2yr_BlockA2_197
soma-removed_crop_MAX_A14-33_2yo_BlockP2_Slide273_MAP2-488_Calc_high-res-2.tif,25.931,Calc,24,d_2yo,2yr_BlockP2_273
soma-removed_MAX_A14-33_2yo_BlockP2_Slide273_MAP2-488_CoS_high-res-1.tif,25.593,CoS,24,d_2yo,2yr_BlockP2_273
soma_removed_crop_MAX_A14-33_2yo_BlockP1_Slide113_MAP2-488_FG_high-res.czi - A14-33_2yo_BlockP1_Slide113_MAP2-488_FG_high-res.czi #1-2.tif,19.796,FG,24,d_2yo,2yr_BlockP1_113
soma-removed_MAX_A14-33_2yo_BlockA1_Slide210_MAP2-594_FG_high-res.czi - A14-33_2yo_BlockA1_Slide210_MAP2-594_FG_high-res.czi #1-1.tif,14.556,FG,24,d_2yo,2yr_BlockA1_210
soma-removed_crop_MAX_A14-33_2yo_BlockA1_Slide251_MAP2-594_FG_high-res.czi - A14-33_2yo_BlockA1_Slide251_MAP2-594_FG_high-res.czi #1-2.tif,10.74,FG,24,d_2yo,2yr_BlockA1_251
soma-removed_crop_MAX_A22-49_9yo_LH_Slide382_MAP2-594_high-res_FG-1.tif,18.536,FG,108,e_9yo,9yr_LH_382
soma-removed_MAX_A22-49_9yo_LH_Slide382_MAP2-594_high-res_Calc-1.tif,16.946,Calc,108,e_9yo,9yr_LH_382
soma-removed_MAX_A22-49_9yo_LH_Slide382_MAP2-594_high-res_CoS-1.tif,17.001,CoS,108,e_9yo,9yr_LH_382
soma-removed_crop_MAX_A22-49_9yo_LH_Slide391_MAP2-594_FG_40x.czi - A22-49_9yo_LH_Slide391_MAP2-594_FG_40x.czi #01-2.tif,18.08,FG,108,e_9yo,9yr_LH_391
