Slide_number,BCAS1_density_mm2,Region,SampleID,Age_group,Age,morphology,,,
4mo_101,6.268262871,CoS,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,b_4-6 mo,4,ensheathing,,,
4mo_101,12.53652574,CoS,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,b_4-6 mo,4,stellate,,,
4mo_101,3.273858263,FG,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Fus.tif:cortex:1,b_4-6 mo,4,ensheathing,,,
4mo_101,5.320019678,FG,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Fus.tif:cortex:1,b_4-6 mo,4,stellate,,,
4mo_123,8.157244499,Calc,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Calc.tif:cortex:1,b_4-6 mo,4,ensheathing,,,
4mo_123,11.65320643,Calc,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Calc.tif:cortex:1,b_4-6 mo,4,stellate,,,
4mo_123,2.120744058,CoS,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Cos.tif:1,b_4-6 mo,4,ensheathing,,,
4mo_123,10.60372029,CoS,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Cos.tif:1,b_4-6 mo,4,stellate,,,
4mo_154,2.650784633,Calc,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Calc.tif:cortex:1,b_4-6 mo,4,ensheathing,,,
4mo_154,3.534379511,Calc,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Calc.tif:cortex:1,b_4-6 mo,4,stellate,,,
4mo_154,3.731245881,CoS,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Cos.tif:cortex:1,b_4-6 mo,4,ensheathing,,,
4mo_154,11.19373764,CoS,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Cos.tif:cortex:1,b_4-6 mo,4,stellate,,,
4mo_172,20.00300022,Calc,crop_MAX_A19-122_4mo_Slide172_DAPI-MBP-BCAS1_Calc.tif:cortex:1,b_4-6 mo,4,ensheathing,,,
4mo_172,22.86057168,Calc,crop_MAX_A19-122_4mo_Slide172_DAPI-MBP-BCAS1_Calc.tif:cortex:1,b_4-6 mo,4,stellate,,,
4mo_172,3.229645849,CoS,crop_MAX_A19-122_4mo_Slide172_DAPI-MBP-BCAS1_Cos.tif:cortex:1,b_4-6 mo,4,ensheathing,,,
4mo_172,16.14822925,CoS,crop_MAX_A19-122_4mo_Slide172_DAPI-MBP-BCAS1_Cos.tif:cortex:1,b_4-6 mo,4,stellate,,,
4mo_172,1.214607086,FG,crop_MAX_A19-122_4mo_Slide172_DAPI-MBP-BCAS1_MFS.tif:cortex:1,b_4-6 mo,4,ensheathing,,,
4mo_172,10.32416023,FG,crop_MAX_A19-122_4mo_Slide172_DAPI-MBP-BCAS1_MFS.tif:cortex:1,b_4-6 mo,4,stellate,,,
4mo_199,8.371692554,Calc,crop_MAX_A19-122_4months_Slide199_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:cortex:4,b_4-6 mo,4,ensheathing,,,
4mo_199,8.371692554,Calc,crop_MAX_A19-122_4months_Slide199_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:cortex:4,b_4-6 mo,4,stellate,,,
4mo_199,7.590334353,CoS,crop_MAX_A19-122_4months_Slide199_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,b_4-6 mo,4,ensheathing,,,
4mo_199,22.77100306,CoS,crop_MAX_A19-122_4months_Slide199_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,b_4-6 mo,4,stellate,,,
5mo_137,21.39816223,Calc,crop_MAX_A22-97_5mo_Slide137_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:cortex:1,b_4-6 mo,5,ensheathing,,,
5mo_137,96.29173005,Calc,crop_MAX_A22-97_5mo_Slide137_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:cortex:1,b_4-6 mo,5,stellate,,,
5mo_137,17.51467958,CoS,crop_MAX_A22-97_5mo_Slide137_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:cortex:4,b_4-6 mo,5,ensheathing,,,
5mo_137,26.73293199,CoS,crop_MAX_A22-97_5mo_Slide137_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:cortex:4,b_4-6 mo,5,stellate,,,
5mo_167,9.204377951,Calc,crop_MAX_A22-97_5mo_LH_Slide167_DAPI_PV-488_MVP-594_BCAS1-647_Calc.tif:cortex:1,b_4-6 mo,5,ensheathing,,,
5mo_167,55.8398929,Calc,crop_MAX_A22-97_5mo_LH_Slide167_DAPI_PV-488_MVP-594_BCAS1-647_Calc.tif:cortex:1,b_4-6 mo,5,stellate,,,
5mo_167,23.96725665,FG,crop_MAX_A22-97_5mo_LH_Slide167_DAPI_PV-488_MVP-594_BCAS1-647_MFS.tif:cortex:1,b_4-6 mo,5,ensheathing,,,
5mo_167,23.96725665,FG,crop_MAX_A22-97_5mo_LH_Slide167_DAPI_PV-488_MVP-594_BCAS1-647_MFS.tif:cortex:1,b_4-6 mo,5,stellate,,,
6mo_118,15.98382261,Calc,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:cortex:1,b_4-6 mo,6,ensheathing,,,
6mo_118,19.74472205,Calc,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:cortex:1,b_4-6 mo,6,stellate,,,
6mo_118,8.89158603,CoS,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:cortex:4,b_4-6 mo,6,ensheathing,,,
6mo_118,45.19889565,CoS,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:cortex:4,b_4-6 mo,6,stellate,,,
6mo_118,17.81932609,FG,crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS.tif:cortex:4,b_4-6 mo,6,ensheathing,,,
