Slide_number,BCAS1_density_mm2,Region,SampleID,Age_group,Age,Layer,morphology
1mo_170,0,CoS,crop_2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.tif:c:1/4 - 2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.nd2 (,a_0-1.5 mo,1,superficial,ensheathing
4mo_101,0,Calc,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:1,b_4-6 mo,4,deep,stellate
4mo_101,43.5624173,Calc,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:1,b_4-6 mo,4,deep,ensheathing
4mo_101,22.63122888,Calc,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:1,b_4-6 mo,4,middle,stellate
4mo_101,13.57873733,Calc,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:1,b_4-6 mo,4,middle,ensheathing
4mo_101,4.462745569,Calc,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:1,b_4-6 mo,4,superficial,stellate
4mo_101,0,Calc,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:1,b_4-6 mo,4,superficial,ensheathing
4mo_101,20.89784957,CoS,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:1,b_4-6 mo,4,deep,stellate
4mo_101,20.89784957,CoS,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:1,b_4-6 mo,4,deep,ensheathing
4mo_101,22.36225716,CoS,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:1,b_4-6 mo,4,middle,stellate
4mo_101,0,CoS,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:1,b_4-6 mo,4,middle,ensheathing
4mo_101,8.664805692,CoS,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:1,b_4-6 mo,4,superficial,stellate
4mo_101,2.888268564,CoS,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:1,b_4-6 mo,4,superficial,ensheathing
4mo_101,4.644921155,FG,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_FG.tif:1,b_4-6 mo,4,deep,stellate
4mo_101,6.193228206,FG,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_FG.tif:1,b_4-6 mo,4,deep,ensheathing
4mo_101,2.322460577,FG,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_FG.tif:1,b_4-6 mo,4,middle,stellate
4mo_101,0,FG,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_FG.tif:1,b_4-6 mo,4,middle,ensheathing
4mo_101,10.10273254,FG,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_FG.tif:1,b_4-6 mo,4,superficial,stellate
4mo_101,0,FG,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_FG.tif:1,b_4-6 mo,4,superficial,ensheathing
4mo_123,3.214498964,Calc,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Calc.tif:1,b_4-6 mo,4,deep,stellate
4mo_123,24.71795179,Calc,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Calc.tif:1,b_4-6 mo,4,deep,ensheathing
4mo_123,6.179487949,Calc,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Calc.tif:1,b_4-6 mo,4,middle,stellate
4mo_123,11.37248748,Calc,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Calc.tif:1,b_4-6 mo,4,middle,ensheathing
4mo_123,22.74497495,Calc,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Calc.tif:1,b_4-6 mo,4,superficial,stellate
4mo_123,0,Calc,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Calc.tif:1,b_4-6 mo,4,superficial,ensheathing
4mo_123,17.26235948,CoS,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Cos.tif:1,b_4-6 mo,4,deep,stellate
4mo_123,8.631179738,CoS,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Cos.tif:1,b_4-6 mo,4,deep,ensheathing
4mo_123,0,CoS,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Cos.tif:1,b_4-6 mo,4,middle,stellate
4mo_123,0,CoS,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Cos.tif:1,b_4-6 mo,4,middle,ensheathing
4mo_123,13.25128602,CoS,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Cos.tif:1,b_4-6 mo,4,superficial,stellate
4mo_123,0,CoS,crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Cos.tif:1,b_4-6 mo,4,superficial,ensheathing
4mo_154,5.89624505,Calc,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Calc.tif:deep:1,b_4-6 mo,4,deep,stellate
4mo_154,11.7924901,Calc,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Calc.tif:deep:1,b_4-6 mo,4,deep,ensheathing
4mo_154,2.932615175,Calc,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Calc.tif:middle:1,b_4-6 mo,4,middle,stellate
4mo_154,2.932615175,Calc,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Calc.tif:middle:1,b_4-6 mo,4,middle,ensheathing
4mo_154,2.932309108,Calc,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Calc.tif:superficial:1,b_4-6 mo,4,superficial,stellate
4mo_154,0,Calc,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Calc.tif:superficial:1,b_4-6 mo,4,superficial,ensheathing
4mo_154,19.88274983,CoS,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Cos.tif:deep:1,b_4-6 mo,4,deep,stellate
4mo_154,19.88274983,CoS,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Cos.tif:deep:1,b_4-6 mo,4,deep,ensheathing
4mo_154,53.44741149,CoS,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Cos.tif:middle:1,b_4-6 mo,4,middle,stellate
4mo_154,0,CoS,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Cos.tif:middle:1,b_4-6 mo,4,middle,ensheathing
4mo_154,4.824930648,CoS,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Cos.tif:superficial:1,b_4-6 mo,4,superficial,stellate
4mo_154,0,CoS,crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Cos.tif:superficial:1,b_4-6 mo,4,superficial,ensheathing
4mo_172,29.99393391,Calc,crop_MAX_A19-122_4mo_Slide172_DAPI-MBP-BCAS1_Calc.tif:deep:1,b_4-6 mo,4,deep,stellate
4mo_172,71.98544138,Calc,crop_MAX_A19-122_4mo_Slide172_DAPI-MBP-BCAS1_Calc.tif:deep:1,b_4-6 mo,4,deep,ensheathing
4mo_172,18.41753124,Calc,crop_MAX_A19-122_4mo_Slide172_DAPI-MBP-BCAS1_Calc.tif:middle:1,b_4-6 mo,4,middle,stellate
